InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,LineTotal,Date,Period,Day,Hour
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2018-11-29 09:49:00,4.65,15311,-4.65,2018-11-29,2018-11,Thursday,9
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,2018-11-29 10:24:00,1.65,17548,-19.799999999999997,2018-11-29,2018-11,Thursday,10
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,2018-11-29 10:24:00,0.29,17548,-6.959999999999999,2018-11-29,2018-11,Thursday,10
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,2018-11-29 10:24:00,0.29,17548,-6.959999999999999,2018-11-29,2018-11,Thursday,10
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,2018-11-29 10:24:00,0.29,17548,-6.959999999999999,2018-11-29,2018-11,Thursday,10
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,2018-11-29 10:24:00,3.45,17548,-41.400000000000006,2018-11-29,2018-11,Thursday,10
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,2018-11-29 10:24:00,1.65,17548,-19.799999999999997,2018-11-29,2018-11,Thursday,10
C536391,22553,PLASTERS IN TIN SKULLS,-24,2018-11-29 10:24:00,1.65,17548,-39.599999999999994,2018-11-29,2018-11,Thursday,10
C536506,22960,JAM MAKING SET WITH JARS,-6,2018-11-29 12:38:00,4.25,17897,-25.5,2018-11-29,2018-11,Thursday,12
C536543,22632,HAND WARMER RED RETROSPOT,-1,2018-11-29 14:30:00,2.1,17841,-2.1,2018-11-29,2018-11,Thursday,14
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,2018-11-29 14:30:00,0.85,17841,-1.7,2018-11-29,2018-11,Thursday,14
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2018-11-29 14:33:00,1.95,12472,-7.8,2018-11-29,2018-11,Thursday,14
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2018-11-29 14:33:00,1.65,12472,-8.25,2018-11-29,2018-11,Thursday,14
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2018-11-29 14:33:00,2.95,12472,-2.95,2018-11-29,2018-11,Thursday,14
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,2018-11-29 14:33:00,1.25,12472,-8.75,2018-11-29,2018-11,Thursday,14
C536548,22654,DELUXE SEWING KIT ,-1,2018-11-29 14:33:00,5.95,12472,-5.95,2018-11-29,2018-11,Thursday,14
C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,2018-11-29 14:33:00,9.95,12472,-19.9,2018-11-29,2018-11,Thursday,14
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,2018-11-29 14:33:00,1.65,12472,-1.65,2018-11-29,2018-11,Thursday,14
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,2018-11-29 14:33:00,0.85,12472,-1.7,2018-11-29,2018-11,Thursday,14
C536548,22077,6 RIBBONS RUSTIC CHARM,-6,2018-11-29 14:33:00,1.65,12472,-9.899999999999999,2018-11-29,2018-11,Thursday,14
C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,2018-11-29 14:33:00,1.95,12472,-1.95,2018-11-29,2018-11,Thursday,14
C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,2018-11-29 14:33:00,8.5,12472,-17.0,2018-11-29,2018-11,Thursday,14
C536548,21218,RED SPOTTY BISCUIT TIN,-3,2018-11-29 14:33:00,3.75,12472,-11.25,2018-11-29,2018-11,Thursday,14
