CustomerID,customer_segment,campaign_strategy
12346,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12347,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12348,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12349,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12350,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12352,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12353,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12354,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12355,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12356,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12357,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12358,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12359,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12360,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12361,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12362,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12363,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12364,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12365,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12367,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12370,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12371,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12372,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12373,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
12374,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12375,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12377,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12378,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12379,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12380,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
12381,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12383,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
12384,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
12386,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
12388,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
